order_id,products
2386746,6366
1355695,7781 39363 40469 48186
2327501,24852
2615195,40174
1930476,5876 9444
2375456,24852
2662615,26209 47626
1828558,43352
2265504,34 264 24852 32579 44632
850065,21137 24235 28553 46802
881345,24852 45066
1222202,1463 24852
1194995,45223
1516882,13176
820449,9839
297131,21903
1176648,43352
1080612,21903
1061897,23909 43967
532252,196
1242386,13176
678235,1688
308264,5785 12745 19816 21137 27966 31720 32655 47209
1098337,4472
1472331,5450 14381 24852 47626 49683
1763504,12341
1531618,27845
1362848,4210
3022429,28985
8188,16185 21903 33000
1150654,13176 17530 21137 31915 33198 35914 43772 47209 47325
1490258,20144
1543051,13176
520685,21137 33787
213822,21903 42265
2055514,13176 16797 39275
227884,5450
334377,42265
2531119,30849 45954
928627,19660
3023648,8859 21903 30169
1503751,20738 36550 49235
973054,13176 21405 36011
1611034,17279 24852
1440294,21903
443872,350 21573
2346070,8239 24852 28985 39275
2190129,45066
2585859,27966 46979
663064,5785
1628123,49683
2362483,33120 43772 46979
421861,5750 13176 18818 23339 49235
651234,13176 34668 48415
443880,13176 14947
2911077,12606
2894503,2748
18531,4210 24852 27841
330274,10749 27104 27966 40706 46979
2466465,34197
2936120,1463 21137 24838
1950741,37067 42445
497684,14645
2154816,13176 27845
604109,13176
462804,1919 19154
871787,21709
160099,21903 35921
2587900,7131 21903 28465 49683
927784,13176
128469,2481 15925 18104 18721 26620 40198
2935142,32605 49683
1800415,12341
741026,3262 23734 31778
1028563,27102 41371
1911600,47766
2639950,13176 21903
1564909,4697 18811 25670 27307 28226 37158
275947,15042
1288003,13176 39877
464517,1511 41808
934994,21903 27392
3378768,30142
1578265,4656
565286,14867 23288 47626
1005664,21386
430940,39275
3400252,13176
509783,5785 35504
2556493,5025
1249753,31506
99497,3792
2117142,13176 16797 21288 43352
3312403,8424 22935 39190
2500905,28601
1537477,11821
2611132,14084
710067,5258
126017,4210 16797 24852
2754136,21137 36011
1685398,24852
169915,1890 18670 39921 42389 45013
451736,23644 34128 47209
689390,13176 34126
2023947,24852
3249425,10749 32523 34658
1372919,28985
2026812,21137 44632
167873,27845
2723797,4799 10603 24852 40174 47626
2032217,37646
3299223,49191
658867,45282
1792555,5785 13176 44631
2442472,3793
1502437,47977
339159,13176 17794 26701 46969
263953,2732 5876 17794 39108
2263140,14462 26209
2239146,2971
2613079,32478
1064164,6383 17545 23341 41594
1592266,35221
37642,39275
418348,4210 16696 19863 38200 43727 44022
3323933,30489
3045077,4605
2799230,24852
3314281,8277
505397,21137 47766
146612,21019 32019
2415900,23288
2322422,24838
2957920,22220
2086127,12606
1815710,38928
2160319,5785
214407,5985 31985
3291619,16797
172709,4472 6348 9421 11737 12614 14870 24852 26209 27966 38456 39886 46969 47209 47626
2903101,35986 44632
1668898,24852
1644302,18465 21903 24852 27845
3186382,22035 24852
342979,4605 17794
253078,24852
3245934,22935 27086
2834814,24852 34262
1746028,1039 39475 43394
3219717,1463 13166 13176 22260
2205722,5450 8277 28021 39958 47626
1347920,432 13083 13176 16185 18027 24489 39561 39578
2537601,7955 31292 46175
3074582,16589 19894 24518 27061 30391
1430114,10957 14111 16696 35727 42460
3152226,13176 34197 35547
1406066,13176 17600 27845 30561 37646 41950 48628
2397663,5450 21903 26604 47209
1545781,8153 12508
360026,13643 37250 47163 47931
2715459,34969
2313350,14853 27845
1771407,6361 13176 44765
1408920,13176 27845
3220768,24838 28387
2406664,17794 23165 45007
680655,13176 49610
1468641,6962
2117855,3957 13176 39877
2821739,44632
2688436,4605
1362694,25804
2382822,17316
2317748,4344 21903 24852 27521 38383 39180 45123
153845,8277 30489
488870,47626
1961266,5262 7669 35328
998429,47626
1637446,7952 13176
18542,28934 42342
2451582,19660
3028530,13176 24964 27845 43394
1479892,38739
3378756,13176 18523 19057
2836028,21137
2025678,6631
2895386,46886
433684,29615 41273
2028349,21903 37067
2304962,43154
1564560,35221
1015824,38228
210065,9405 18465 37646 41665 46820
39157,47766
2203044,24852
2862042,7485 15290 28985 46979
1507209,21137 29447
122123,47766
834510,13166 30233
3315433,21903 24852
937063,43154
2677758,27845 44765
1146246,24053 34886
2175759,11782 25513 26352 33919 46616
2534043,35221
3097958,7806 8728 24852 40706
1732365,9036 13176 21137 21903 47766
2907747,5646 7781 28204 41290
3176607,11520 13176 32030 47209
37580,1890 21137
2395413,28427 47977
906138,24799
1332728,16920 24852 25706 47626
3363663,1393 7332 21709
3086391,6104 13176
3276844,5575 6297 19660 21150 21903 27966 28985 40396 42265 47626 47630
3033980,34300 47209
781055,21903 24852 26209
1636972,37067
146787,2120
18671,19906 27845
1711131,8859 40969
2989523,23288
2824972,3957 26604 31076
2693691,19660 24082
1475965,27845
2699075,13176 33120
3158947,13176 14711 24721 31720
2123903,13249 32201 42342 44781
12187,12341
806847,9018 20670
265935,47766
159767,703 23955 24852
2511113,24852
1357327,10749
720094,21137
614552,2962
2615427,13176 17872 31720
1942060,42479 46616
2582209,13176 42533
3081244,13565 37646
1947751,14084 28156
2436525,2326 10749 17902 21137 24024 27104 39928 40706 43961 46584 47209 49520
1068380,25890 27966
2735482,13176 47209 49235
2396642,28459
2705359,22035 27845
2024210,27637 43295
821272,14852
2934403,24852 28204 45066
2244082,24852 35547 47626 47766
2391231,8048 30827 32403
2547704,38768 43352
3322184,12606
690195,12324 34335
2312614,13176
3345341,13176
1602984,28934
2435962,16396 41724
2081370,19894 24852
1248855,6948 22908 30639
1466762,27510
2044709,13176
319395,34026
2293675,5646 21137 21903
2701994,25093
2777891,25043 38689 44786 47766
3064986,10032 24852 28842
3097087,1463 5077 8277 13176 20178 46252 49374
2949998,21137
2337872,6825 20930 30696 44142
366888,41651 49488
2552554,11365
1449387,4485
2379878,24852
2705870,21267
2808739,2481 16696
1431611,24852
2409364,40706
1896552,28373 40706
2697627,27086 27845 34126 38164
1663178,13176 31915
228046,21914 47717
2511424,24852 47766
613138,21137
2675750,44683
3360200,24852 25890
3145799,9839
292418,17758 37766
1836360,11136 49267
2165765,1940
2997011,1094
357169,47209
2417478,24852
2049410,48559
1260895,24852 46770
1098204,24852
3351424,32403
2388489,44142
240797,8277
2342134,12341 13176
980176,36943 37067
3125241,27521
1965407,6184
1686054,25466 40795
3282259,11576 13176 21137 35628 40174 41290
241296,13176 17758 36189 43295
2356651,13176
2420771,23288 24852 33000
2686832,4472
1285494,11073 12212 27592 33152
919784,49605
125877,24852
2698317,21709 24852
2540400,31942 35121
2986891,4210 23413 24852 40278
2791240,17703 35921 37646
1855627,20842 24852 25890 46676
3409697,13176 22959
2778614,24852 27086 28204 47766
2284550,11068
198039,17461 21903 34262 47144
450991,33198
1435420,15424
1693167,25931 37646
428894,21572 32403
1714797,24852 27845 49628
1850480,29487
75768,42511
1226609,48679
2706656,29370 41165
1861845,31215 39475 40198
1906257,21137 33401
1992739,20082
2854541,47209
818135,40396 43352 47630
917792,13176 47766
1677280,4796
1683045,1511 41844
1341240,27325 32478
1318901,42736
2667543,24852
211501,2974 17316 47993
2195906,47766
635948,49235
2665475,325
650248,46586
2520234,47144
664944,29623
925953,21137
124179,5393 11422 33590
2356097,32747
1115433,41973
2194000,49683
634863,15999 16797 17769 25146 26604 30320 32141
1877909,17900
443695,49235
1523027,21903 27086 29487 47626 47766
1808531,19057 47209
2648935,11784 21137
2996290,47766
356187,6774 21137 27966 29447
2989319,10481 19220 24852
2510883,26317
260426,14111 18019
2066467,1062
1380085,20916
2975290,5479 13176 14437 19057 22113 27521 27845 30561 31766 39475 49235
2343002,37542
3231128,5360 12384
1165485,26530
280378,7806 22035 33198 35951 46313
179859,33232
3237925,34126
3358581,343 24852 39699 44632
2137207,24838 26165 28572
290128,23695 24631
1583653,4920 5479 6341 18523 27966 47209
2183078,17630 26165
751932,24852 43693
1332106,3957 13176 21137 28985
711557,26209 28204 44632
2862304,45007
962871,13176 21137 31720 47209
2978531,24852 49683
2412705,21386
545407,5077 21137
3071078,12916 35221
192124,24852 38777
3219586,15510 21616
3106481,1940 15462 49605
2708102,196
2897090,38928 41400
433210,28204 47766
3019130,3849 24852
3353912,24852 27845 28204
462927,24852
558572,22035 24852 27086 32380 47626 48988
3278773,23094
1649232,932 13176 21376 35469 43295 46393 46627 47223 48595 49518
753517,13732 42633
3321644,13646
2030144,9018
2115328,20940
2720149,47144
3276532,10473 13575 17207 20738 41400 46516
1420183,11712 38508 43760 44632
1381253,44334
1240009,24852 25396 42768 45066 46485
2219487,33198 46969
3165781,36011
2594709,47141
2797081,39928 47626
670667,40921 45948 49235
1731466,5876 7676 35547 47209
523419,4210 6631 47626 49683
3417990,2450
191270,46823
2685876,27730
2040050,3318 23909 31299 32429 49054
2793407,14999 29487
3408954,13176 21174
2723127,24852 27845
2327923,20119
2495454,1702 19155 33827 47141
3174364,21709
3116056,38311
591179,19660 39877 41290 41658
2729175,24852
82097,22935 24184 27521
2867048,8424 13198
2118408,28204
2614453,13944
2602652,14233 35951
3037067,3849 10749
325337,29447
2310247,14233
2683507,37646 47144
3211461,20119
1091957,35221
273601,24852 44632
1920305,10957
2044905,28156
3409639,13176 20114 22035 30489 39578 49683
496965,13176 30827
82128,27845
3385237,2078 47209
156940,48025
904581,5785 24125 26209 38558 38739 47626
730911,47766
1736953,13176 44570 49683
2055783,4210 4889 39032
304243,33198
3231200,37119 38465
1133073,820 35221
3072470,432 24852 47766
1196675,13147
637182,45066
3059485,5068
3342900,26209
2905157,45066
767022,13176 14999 28427 46817
174236,28204 35221 38991
2152386,24852
2865789,10070 13176 32655
1806864,20842 24852 33198 47626
71423,21903
157744,10749
318865,13176 18564 24838 33911
2689786,21137 24852
2669602,8277
940231,4269 24852
2261625,1835
3061272,116 13176
2384428,24852
629663,27845
293221,4942 44632
3086930,8859
1813504,24852
2010640,40571
3331037,19660
2793004,13176 43821
440835,13249 35825 38200
345749,24024
625060,30391
21279,8859 9515 24852 26384
732325,27845 29926
2645646,21903 27325
1959024,13176 23953
2056110,21903 24852 27845 33000 34217 39928
2112213,5258 42447
2414612,8193
1512114,4957
3264884,4920 24852
1707526,26128 36865
797464,27288 32403
2618261,5785 27086
526057,21386
709212,13176
560370,47626
508387,25466
2879595,13646 24852 47144
3106856,5782
3135256,15200
1512071,19660
3184867,21903 45570 47209
930846,35951
2771544,5785 13176
221778,12899 13176
112268,21910
2139095,21137 38456 39928
838175,32566
1592997,33198
638575,8174
1847823,27845 45741
1561380,45066
3051711,49131
2610988,28745
427521,6631 15527 17429 18465 24024 47225
2453537,5818 15937 20114
547503,7781 13176 23029
56387,9076 10613 24852 41787 48907
2980148,39275
2601149,13176
1760575,5077 19350
1061641,49235
1967897,23594 34027 40174
2858680,24852
2538034,13176
2067460,5479 11067 13176 39928 40174
3045840,35503 48720
2105683,47766
2776360,12341
2094235,3407
3284299,46667
642072,45541
1660435,1700 27966
914443,3594 8615 32211
1727297,38747
2369669,37646
1211293,13646 24852 31040 44375 47766
1960666,23165 40706 47209
1836713,196
190741,8277 14870 19057 21267 25837 37646 43295 45763 47209
2529742,7559 41703 48720
2026505,13176 27966
1839332,12341
126736,17600 20738
1614391,3957 25931
2153231,26209
3352836,5479 8103 10172 13712 25533
2957626,27845
2358257,14218 24852 28985 44632
19786,4957 13176 19057 37646 44201 47626
3388332,15424
773479,23909
3282496,1158 2063 5450 8123 11777 19008 24184 25837 29463 33787 40571 41540 42244 45578 46226
2305478,12606 13176 18606 29370 41950
3361454,26428
3302471,10880 18531 24852 48857
2935339,27845 49683
1951836,21267
3400076,28985 32743 47977
1472105,20082 21903 24852 47209
2495901,16696
1783770,907
180620,39475
502831,5479 17794 19057 37067 47766
1842246,21386
1587449,21137 24852 27966
2052272,17630 47209
2619066,24852 39877
2641755,19660
1926986,11422 37646
274063,14146
3395210,18564
1650668,5479 12395 13176 19057 19894
808801,24852
1400661,14233
3314994,5212 17706 27966 30385 35628 36127 41665 43768
2630079,22825 38231 48529
1021985,11182 27360
702391,27845 32740
405082,30827
2340023,12341
809101,24852
3369247,24852 48205
566271,15290
419451,24184 38293
3230859,7079
3015415,5077 19348 45570
475275,46676
1729055,8518
692660,43154
1077577,16797
3298021,7781 33754
112266,4796 5479 24852
1564140,27845
1467342,24852
678077,32578
1587914,24427 28715
1800597,7156
1324909,3957 13176
2799321,39928 47209
2952721,24852 38689 38852
2750835,4347 17794 24852 35383 47766
3348944,32478
2810448,13176 17902 21386 26604 43352
985822,2983 6489 7026 7185 7669 13176 18770 19816 20345 21903 33947 34622 37276 47766
43784,196 1463
1085749,21137 24852
1779050,13166 27086
2374929,21903 24852 37687
131689,7598
1681641,16797 19660
3217253,47209
804759,8571 13176 43352
3400037,21137 39928
297956,19820 22035 35503
507415,27966
1622180,11777 43961
308323,32156
2577445,12817 33772
610797,17706 38544
322353,46820
3222891,33768
1308518,13176 39108
215061,8518 21709
2573367,47766
1764470,14697 16797
2987251,6184 13424 17207
114477,1194 10912 14233 22035 24852
1779841,329
2796128,24852 45066 46676
170889,34335 42450
134371,24852 43961
68929,49520
2740029,4957 6532 22556 28380 33754 35951 39275
2231215,21137 22035 24852 27086 36606
3133689,13176
2159551,2962 21616 21903
1462771,20940
84209,38694 41363
2541560,13176 45930
2360441,21137 33768
1200561,5114 14947 28553 35951 38192
2166597,6052 17316 26209
1206539,21137 24852 42193
416730,42555
905089,13176 18465
2523268,1194
2508557,21137 24852
687954,23543 33120
85039,47766
1427138,32740 45066
1227762,4895
2357068,16283 21386 38768
228861,5262 17794 35072
1493571,13176 49615
337220,24852
2588423,196
3071587,13176
3073229,24852
2368697,13176
1786456,5785 11520
835158,14233 37250 43295 43961
1264544,10749
2441968,25305
1032113,24852
697088,43295
3290268,260 19977 24852
550828,17316
1211734,9623
1249182,49683
131149,8859 47626
509905,21137
334241,27360 32958 39276
784292,13176
2593301,19156
2242918,24852 49236
3017288,3873 26651 34047 43815
1244197,24852
144863,196
2988021,5258
1310660,26620
3239420,7862
2688190,1940
2397704,13176 30391
2841408,19894 20794 30776
3315552,13176
3362011,37141 45104
2621159,4957 27845 28798 30489 39928
2527358,10070
472004,25837
1741755,47209
2880946,8277
2625802,5653 9755 13841 17084 23288 27966 29010 35221 44487
1112263,3631 26431
2123461,42803
310426,19057 20082 24852
2257246,4317 8193 22831 39185 40310 43631 44799 45622
2511799,5886 12941 13819 19366 29926 30962 47626
2340531,27104
2684316,8048 30827
544188,24852 26165 33198 35503
2230916,21903 24852
3142625,5258 33000 35652
1000347,4724
3356362,4210 6286 6867 10673 46088 49176
1032827,13176 21380
1059037,13176
660340,28204 46906
311568,196 1194 23734 28031 47626
3036745,35784
647133,13080
3022813,3039 30960
1737541,9076 18444
2711504,22935 26209 34262
386595,10032 24852 34024 39408
2997214,21616
1325063,24852
3336462,24852
2473048,4137 27307 33044
339825,24852 45066
102085,47766
1659673,44632
39952,6507 13018 13263 24852 26604 45066 47766
1000424,17948
79185,5785 21903
239811,10863 20995 45346
777834,26209
1803135,20940
1997419,13176
1203870,3957 13176 47209
1638144,4920 18439
1143139,3526 27771 29487 43352
714130,8859
1957826,47766
3353321,11777 15976 46572 49683
210869,21903 24852
2412264,23915 33198
2099147,18523 43227 44989
2509365,32478
711706,32403
786756,4920 16797 24852 47626
2163348,21927 35221
170153,28985
1371384,21137 22035 24852 27845 47766
1838265,23909
1504125,5612 18389
1037008,4920 36758 47144
307496,4920 19660 42551
591206,33754
2889966,33572 40174
2580909,13914
349999,16825 26165
2013647,30391 36011 46676
2711970,12738 24852 27313
1404675,30489
2831292,13176 21137 43654
1920785,4097 17426 33026
1066043,30420 35951
469166,329 24964
878014,13176 27845
3294605,41195
1487358,31651
2844705,6489 24852 31040 37646 45045
2106057,25890 47766
840582,2855 4920 5640 21903 30489 34969 43961 49075
279129,6287
2818058,23909
2842724,32701
2501644,8859 19660 24964 27325 28601 34040 35535
1459591,13914
1019574,13176 43154
669827,16797
1801053,28985
2789959,6567 27845 47626
1316378,432 44632
1399073,13176
348248,12341
3387924,25513 47209
2545292,9138 17484 45066
423332,8251
937576,13819
2717294,24852
1363139,13895 35561
1942027,8390 41651
2092284,11826
668692,27845
1923121,5450 24852 27730 39928
627985,3919 49683
1777051,12341 43352
2763930,13176
2296092,39928
1377260,47766
2352802,27845 31683
754221,47977
2173184,21386 27470 44051
2101758,3298 5337 30827 32478 33768
2121178,37646
2236690,4289 10116 10957 16611 38563
3068872,7781 21137 43295 47766
3136926,45104
1749877,12916 39108
1305403,10957
2837872,12894 14553
283488,12341
1442563,5785 10851 13176 19057 21137 39475
120189,13176
1900278,13176 30391
784733,5077 18234
744917,36076
3066300,4565 5077
971795,1511
1589777,26029
2198734,18362
3082443,30827 33768
52627,24668
2195656,47144
1393578,4136 11422 21616 27966 28427
3352646,16965
522728,24852
981504,5449 28021 38383 39180
1500916,1999
2640219,1712 24852 31915
1574291,7781 24964 27336 45200 49235
931200,23909 36189
348551,10441 11759
2231987,13176
2501245,5285 23540 33452 39275
1880163,2763 26165 38383
343091,13176 24024
625716,13176
1570076,18070 26771 40541 43740 47873
1970423,16083 40545
2678677,13176
1918293,5161 24852
1593664,13176
3101190,12606 45066
2358558,30353 49191
118909,34244
1966079,35900
206198,3835 26209
1919482,6692
1200291,4428 13176 47209
2093081,8048 8571
832226,20082 39581 42265
1568039,24852 27845
2609471,21137 47209
1576063,13176 28476
891985,11499 17553 21137 24852 47766
1787330,48205
1343490,14218 14992
138325,24706
1461692,12078 13176 39275
3397970,47626
1443537,23094
128034,19068
1742775,13176
918681,31683
1768619,43394
2774252,19019
228804,14366 14379
2943660,758 11233 16185 23929 24852
1062166,11712 16415 21903 29487
1330118,6286 19660
3247057,19613 19660 27521
1374758,24852 47626 48679
526786,15290 30305
56309,17758 33198 34993
1540523,43788 47766
343520,19677 27845 38739
1503991,24195 28593 29388 38689 48523 48857
1009378,9839 10017
2619359,24852 45066
2284195,24852 32566
2817173,24852 27531
2800411,8571 47788
157657,27845 32433
2334720,20119 35221 44632
1203598,10768 23094 37947 39623 44910
764548,19660 34270
3163367,26315
2834133,43967 44799
1660291,24852
1130391,37710
1787788,35914
2518887,24852 28204 30489
2514911,21903 24852
1507624,13042 28427 32679
1746183,196
2587497,13176
3413676,22362
1720329,12013 33827 38890
1234497,45636
1849712,17794 42736
1384120,21903
2299339,24852 40709
760643,47766
912413,7781 24629 27360 39276 41473 48527
3004334,18926 19156 22124 24549
353208,27845
2915035,30391
2773542,29447 43295
2336950,13176 47209
381159,14084 24062 28123 33731
2896019,30391 44632
441320,13646 16797 21386 28465 40571
1928383,4210
1277409,13424
2633356,19348
3102222,36036 46616
2329197,19348 45066
3022869,11520 38647
1001263,24852
1267738,32085
1953332,19443 46229
2130484,11365
1328537,17449
1511293,47357
2234633,25890
2177673,41844
3011604,23909
2241607,11520 27845
196027,31981
177207,34525 43122
2964136,1890 37011
2221916,18426
3161484,27086
2445581,21137
977051,13249 19660
537155,3957 23909 24852 27062 33754 47766
308836,8277 11520 13176
1272763,47626
2920213,24852
2805075,19660
1061266,17559 34668
885143,24852 27845
1007747,34578 37935
2759555,13176 24964 45123 47209
1571125,16234
3046849,8174 13176 18105 21386 27966 34044
322487,24852
1076026,36170
1139974,3957 13176 16759
3160413,6128 9387
1783574,196
3047809,24852 44142
1935645,15290 47788
2041501,43295
2274303,4920 38200
2709034,35221
2124206,432 5422 30233 39041
2918786,432 24852
606242,31717
1507212,13176 32648
2569710,10957 47196
2500814,49192
777319,27845
709559,21903 24852 47626
964767,12341 21137 24160 24852 28226
3027181,23543
1714717,277 4374 5612 14901 23734 24852 44075 48366
1215886,25890 26283
1687544,24838
2040322,21137 21903 22035 35221
689038,19057 24852 38689
755467,32403
319548,38579
1952157,21513 33568 33791
3337654,24082 27949 28593
1460388,28576
847907,24852
2465714,15424 33452
378849,13176 21137
1415274,196
2653783,11642 14890 21709 24852 26372 38483 42240
693091,8859
2416792,47209
1488339,15866 36476 40174 49235
2351155,37646
27260,26317
3129724,38889 40795
669240,21462 39275
1005339,13629
792121,46906
206945,3298 3631 16882 26723 32429 38400 44487 44500 45066 46979 49683
656330,27086 27845
2826021,2592 11520 13176 33232 39877 40001 43182
438416,1559 4957 17316 18926 22124 33682 33787 40174 40571 49235
2514204,32429
2719744,24852
2878490,21019 23909 30489 39877 46906
1426578,1017 12916 16486 16768 20955 34254 38483
2997439,12341 16797
2467274,8859 24964 38383 47209
1348827,39984 44632
2327432,45930
916960,33000
2231579,38768
1032755,19057 27845 33055
1112543,17334
45342,44375 49235
3054060,4605 24852
2891401,38400
2611412,10749 25705
1257814,25890 46676
1794154,4210
1827729,4210
984889,329 40706
1486466,5876
276758,12395 24841 35951
2256831,21293 32331
2328159,13176 23579 30489 35951 42450
1054303,38988 42585
697336,13176
1095277,1158 5785
2450060,11712 13176 21903 49683
2246414,3957 19057 33198 47209
120014,12341 13176 33120
1759524,32163
841490,3594
541082,415
580305,9839
871004,4920 47209
319471,1463 22035
1340096,19057 32747 44632
2904177,45 5479 24024 24852
330896,47766
464207,32478
2043256,24852
2640610,42972
1787656,10132 11422 18362 19057 21137 27845 27966
172764,27845
2775685,4658
732083,24852
2481082,44632 46979
2856606,19348
1112019,9387 28204
1525296,47626
3174888,36086
402416,15390 24852
1378141,11759 12341 35561 43352
2820933,30391
2712081,13176 35547
1089931,16518
714651,3481 16249
1710663,16797 21386 43352
2743595,11266 21572 22362 26348 31651 32455 37710 45051
2756829,14633
475054,19660
3141397,24964
2395018,24852
2639109,24852
1324263,4889 8670 23020 44799
1949301,19660
